idJornada;idResponsable;IdTiempoRegistro;idPunto;idBocatoma;idVariable;Valor_1;Valor_2
1;1;25/02/2025 8:00;3;1;1;20.8;20.8
1;1;25/02/2025 8:00;3;1;2;94.6;94.6
1;1;25/02/2025 8:00;3;1;3;7.69;7.67
1;1;25/02/2025 8:00;3;1;4;91.87;92.02
1;1;25/02/2025 8:00;3;1;5;18.6;18.5
1;1;25/02/2025 8:00;3;1;6;8.01;8.07
1;1;25/02/2025 9:00;3;1;1;21.6;21.6
1;1;25/02/2025 9:00;3;1;2;90.6;90.6
1;1;25/02/2025 9:00;3;1;3;7.66;7.73
1;1;25/02/2025 9:00;3;1;4;104.2;104.0
1;1;25/02/2025 9:00;3;1;5;18.8;18.8
1;1;25/02/2025 9:00;3;1;6;7.99;8.01
1;1;25/02/2025 10:00;3;1;1;21.7;21.7
1;1;25/02/2025 10:00;3;1;2;91.5;91.5
1;1;25/02/2025 10:00;3;1;3;7.79;7.68
1;1;25/02/2025 10:00;3;1;4;109.2;109.9
1;1;25/02/2025 10:00;3;1;5;19.0;18.8
1;1;25/02/2025 10:00;3;1;6;7.89;7.94
1;1;25/02/2025 11:00;3;1;1;25.5;25.5
1;1;25/02/2025 11:00;3;1;2;78.2;78.2
1;1;25/02/2025 11:00;3;1;3;7.78;7.84
1;1;25/02/2025 11:00;3;1;4;117.8;117.6
1;1;25/02/2025 11:00;3;1;5;19.6;19.4
1;1;25/02/2025 11:00;3;1;6;7.84;7.88
1;1;25/02/2025 12:00;3;1;1;26.4;26.4
1;1;25/02/2025 12:00;3;1;2;75.2;75.2
1;1;25/02/2025 12:00;3;1;3;7.89;7.75
1;1;25/02/2025 12:00;3;1;4;120.8;122.3
1;1;25/02/2025 12:00;3;1;5;20.1;19.8
1;1;25/02/2025 12:00;3;1;6;7.86;7.78
1;1;25/02/2025 13:00;3;1;1;26.7;26.7
1;1;25/02/2025 13:00;3;1;2;73.4;73.4
1;1;25/02/2025 13:00;3;1;3;7.68;7.76
1;1;25/02/2025 13:00;3;1;4;189.6;186.3
1;1;25/02/2025 13:00;3;1;5;20.3;20.4
1;1;25/02/2025 13:00;3;1;6;7.56;7.59
1;1;25/02/2025 14:00;3;1;1;28.4;28.4
1;1;25/02/2025 14:00;3;1;2;63.3;63.3
1;1;25/02/2025 14:00;3;1;3;7.82;7.83
1;1;25/02/2025 14:00;3;1;4;126.1;128.7
1;1;25/02/2025 14:00;3;1;5;22.0;21.3
1;1;25/02/2025 14:00;3;1;6;7.38;7.44
1;1;25/02/2025 15:00;3;1;1;23.4;23.4
1;1;25/02/2025 15:00;3;1;2;89.8;89.8
1;1;25/02/2025 15:00;3;1;3;7.78;7.72
1;1;25/02/2025 15:00;3;1;4;130.2;131.1
1;1;25/02/2025 15:00;3;1;5;20.6;20.6
1;1;25/02/2025 15:00;3;1;6;7.54;7.59
1;1;25/02/2025 16:00;3;1;1;21.2;21.2
1;1;25/02/2025 16:00;3;1;2;95.8;95.8
1;1;25/02/2025 16:00;3;1;3;7.74;7.69
1;1;25/02/2025 16:00;3;1;4;129.9;129.8
1;1;25/02/2025 16:00;3;1;5;21.1;21.1
1;1;25/02/2025 16:00;3;1;6;7.54;7.52
1;1;26/02/2025 6:00;4;1;1;20.8;20.8
1;1;26/02/2025 6:00;4;1;2;92.8;92.8
1;1;26/02/2025 6:00;4;1;3;7.54;7.72
1;1;26/02/2025 6:00;4;1;4;120.8;121.3
1;1;26/02/2025 6:00;4;1;5;19.0;19.0
1;1;26/02/2025 6:00;4;1;6;7.85;7.9
1;1;26/02/2025 7:00;4;1;1;20.6;20.6
1;1;26/02/2025 7:00;4;1;2;94.9;94.9
1;1;26/02/2025 7:00;4;1;3;7.71;7.74
1;1;26/02/2025 7:00;4;1;4;120.9;120.9
1;1;26/02/2025 7:00;4;1;5;18.8;18.8
1;1;26/02/2025 7:00;4;1;6;7.98;7.99
1;1;26/02/2025 8:00;4;1;1;20.8;20.8
1;1;26/02/2025 8:00;4;1;2;92.8;92.8
1;1;26/02/2025 8:00;4;1;3;7.76;7.82
1;1;26/02/2025 8:00;4;1;4;121.7;122.0
1;1;26/02/2025 8:00;4;1;5;19.0;18.9
1;1;26/02/2025 8:00;4;1;6;7.97;7.96
1;1;26/02/2025 9:00;4;1;1;21.5;21.5
1;1;26/02/2025 9:00;4;1;2;91.1;91.1
1;1;26/02/2025 9:00;4;1;3;7.83;7.86
1;1;26/02/2025 9:00;4;1;4;125.8;125.9
1;1;26/02/2025 9:00;4;1;5;19.0;19.0
1;1;26/02/2025 9:00;4;1;6;7.9;7.96
1;1;26/02/2025 10:00;4;1;1;22.7;22.7
1;1;26/02/2025 10:00;4;1;2;87.1;87.1
1;1;26/02/2025 10:00;4;1;3;7.83;7.8
1;1;26/02/2025 10:00;4;1;4;147.0;149.8
1;1;26/02/2025 10:00;4;1;5;19.9;19.5
1;1;26/02/2025 10:00;4;1;6;7.76;7.84
1;1;26/02/2025 11:00;4;1;1;23.9;23.9
1;1;26/02/2025 11:00;4;1;2;84.0;84.0
1;1;26/02/2025 11:00;4;1;3;7.6;7.83
1;1;26/02/2025 11:00;4;1;4;136.9;138.4
1;1;26/02/2025 11:00;4;1;5;20.4;19.8
1;1;26/02/2025 11:00;4;1;6;7.73;7.75
1;1;26/02/2025 12:00;4;1;1;25.9;25.9
1;1;26/02/2025 12:00;4;1;2;77.6;77.6
